Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼,IBK154G‑00001,Mesterséges intelligencia I. gyakorlat (tehetséggondozó program),,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼,TT‑IBK403,Formális nyelvek,4,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK403E,Formális nyelvek,4,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK403E,Formális nyelvek,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK403E‑00001,Formális nyelvek (tehetséggondozó program),4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK403G,Formális nyelvek,4,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK403G,Formális nyelvek gyakorlat,4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼,IBK403G‑00001,Formális nyelvek gyakorlat (tehetséggondozó program),4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼,TT‑IBK604,Logika és informatikai alkalmazásai,2,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK604E,Logika és informatikai alkalmazásai,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK604E,Logika és informatikai alkalmazásai,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK604E‑00001,Logika és informatikai alkalmazásai (tehetséggondozó program),2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK604G,Logika és informatikai alkalmazásai,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK604G,Logika és informatikai alkalmazásai gyakorlat,2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼,IBK604G‑00001,Logika és informatikai alkalmazásai gyakorlat (tehetséggondozó program),2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼,TT‑IBK507,Bonyolultságelmélet,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IBK507E,Bonyolultságelmélet,5,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK507E,Bonyolultságelmélet,5,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IBK507E‑00001,Bonyolultságelmélet (tehetséggondozó program),5,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBK507G,Bonyolultságelmélet,5,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IBK507G,Bonyolultságelmélet gyakorlat,5,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼,IBK507G‑00001,Bonyolultságelmélet gyakorlat (tehetséggondozó program),5,Kötelezően választható,Gyakorlat,1,,2,,,,
,MK‑SZT,Szakmai törzsanyag,,Kötelező,,,,52,52,,
◼,TT‑IB402,Operációs rendszerek,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB402e,Operációs rendszerek,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB402e‑00001,Operációs rendszerek (tehetséggondozó program),2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB402e,Operációs rendszerek,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB402g,Operációs rendszerek,2,Kötelező,,,,2,2,,1,,,,,,,,,,,,
