Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼,TE‑IB414‑2G,Alkalmazásfejlesztés I. gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB414‑2G,Alkalmazásfejlesztés I.,4,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TT‑IBK004,Szoftvertesztelés alapjai,5,Kötelezően választható,,,,,5,,,,,,,,,,,,,,
◼◼◼,TE‑IBK004E,Szoftvertesztelés alapjai előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK004E,Szoftvertesztelés alapjai,5,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IBK004G,Szoftvertesztelés alapjai gyakorlat,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IBK004G,Szoftvertesztelés alapjai,5,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IBK911,Gazdasági informatika,,Kötelezően választható,,,,,4,,,,,,,,,,,,,,
◼◼◼,TE‑IBK911E,Gazdasági informatika előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK911E,Gazdasági informatika,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IBK911G,Gazdasági informatika gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IBK911G,Gazdasági informatika gyak.,3,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB001‑00090,Társadalmi és gazdasági hálózatok modellezése,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB001‑00090E,Társadalmi és gazdasági hálózatok modellezése előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB001e‑00090,Társadalmi és gazdasági hálózatok modellezése,3,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB152,Adatbázis alapú rendszerek,,Kötelezően választható,,,,,5,2,,,,,,,,,,,,,
◼◼◼,TE‑IB152E,Adatbázis alapú rendszerek előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB152e,Adatbázis alapú rendszerek,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IB152L,Adatbázis alapú rendszerek gyakorlat,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB152l,Adatbázis alapú rendszerek gyak.,4,Kötelezően választható,Labor,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB370,Szkriptnyelvek,,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IB370E,Szkriptnyelvek előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB370E,Szkriptnyelvek,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IB370G,Szkriptnyelvek gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB370G,Szkriptnyelvek,3,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB077,Mobil képalkotás és alkalmazásai,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB077E,Mobil képalkotás és alkalmazásai előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB001e‑00015,Mobil képalkotás és alkalmazásai,0,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB009,Játékfejlesztés Unity-ben,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,IB078G,Játékfejleszés Unity-ben,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB001e‑00003,Vázkijelölés a képfeldolgozásban,,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼,IB001e‑00003,Vázkijelölés a képfeldolgozásban,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB079,Képfeldogozó programcsomagok,,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼,IB001e‑00082,Képfeldolgozó programcsomagok,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB080,Térinformatika,,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IB080E,Térinformatika előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB080E,Térinformatika előadás,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,TE‑IB080G,Térinformatika gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB080G,Térinformatika gyakorlat,4,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB570,Alkalmazásfejlesztés II.,5,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼,TE‑IB570E,Alkalmazásfejlesztés II.,,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼◼,IB570E,Alkalmazásfejlesztés II.,5,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,TE‑IB570G,Alkalmazásfejlesztés II. gyakorlat,,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼◼,IB570G,Alkalmazásfejlesztés II.,5,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB470,Mobil alkalmazásfejlesztés,,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼,TE‑IB470E,Mobil alkalmazásfejlesztés előadás,,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼◼,IB470E,Mobil alkalmazásfejlesztés,3,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,TE‑IB470G,Mobil alkalmazásfejlesztés gyakorlat,,Kötelezően választható,,,,,2,1,,,,,,,,,,,,,
◼◼◼◼,IB470G,Mobil alkalmazásfejlesztés,3,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB471,Webfejlesztési keretrendszerek,4,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼,TE‑IB471E,Webfejlesztési keretrendszerek előadás,,Kötelezően választható,,,,,1,,,,,,,,,,,,,,
◼◼◼◼,IB471E,Webfejlesztési keretrendszerek,4,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,TE‑IB471G,Webfejlesztési keretrendszerek gyakorlat,,Kötelezően választható,,,,,2,,,,,,,,,,,,,,
◼◼◼◼,IB471G,Webfejlesztési keretrendszerek,4,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB472,Multiplatform alkalmazásfejlesztés C++-ban,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB472E,Multiplatform alkalmazásfejlesztés C++-ban előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB472E,Multiplatform alkalmazásfejlesztés C++-ban,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB670,Agilis szoftverfejlesztés,6,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼,TE‑IB670E,Agilis szoftverfejlesztés előadás,,Kötelezően választható,,,,,1,1,,,,,,,,,,,,,
◼◼◼◼,IB670E,Agilis szoftverfejlesztés,6,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,TE‑IB670G,Agilis szoftverfejlesztés gyakorlat,,Kötelezően választható,,,,,2,,,,,,,,,,,,,,
◼◼◼◼,IB670G,Agilis szoftverfejlesztés,6,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB001E,Adatelemzés a szociális médiában,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,IB001e‑00076,Adatelemzés a szociális médiában,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IBK255,Intelligens vizualizációs eljárások,,Kötelezően választható,,,,,4,2,,,,,,,,,,,,,
◼◼◼,TE‑IBK255E,Intelligens vizualizációs eljárások előadás,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼,TE‑IBK255G,Intelligens vizualizációs eljárások gyakorlat,,Kötelezően választható,,,,,2,1,,,,,,,,,,,,,
◼◼,TE‑IB085,Elosztott szoftverrendszerek fejlesztésének általános és egészségügyi alkalmazás,,Kötelezően választható,,,,,3,,2,,,,,,,,,,,,
◼◼◼,IB085E,Elosztott szoftverrendszerek fejlesztésének általános és egészségügyi alkalmazása,0,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,IB085G,Elosztott szoftverrendszerek fejlesztésének általános és egészségügyi alkalmazása,0,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼,MK‑DIFF‑EGYEB,Differenciált ismeretek - egyéb,,Kötelezően választható,,,,,0,,0,,,,,,,,,,,,
◼◼,TT‑IBT013,ACM feladatmegoldás: technikák és trükkök,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼,TE‑IBT013E,ACM feladatmegoldás: technikák és trükkök,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IBT013E,ACM feladatmegoldás: technikák és trükkök,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB001e,Speciálkollégium 1. (ea),,Kötelezően választható,,,,,0,,0,,,,,,,,,,,,
◼◼◼,IB001e‑00027,"C++ a gyakorlatban, hálózati alkalmazásfejlesztés",,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00057,Bizonyítások és alkalmazásaik,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00086,Bevezetés a gépi tanulásba,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00031,Javascript technológiák,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00112,Számítógépes szemantika,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00067,Képfeldolgozó Nyári Iskola (SSIP2006),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00029,Windows alapú kliensfejlesztés .NET-ben konf,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00082,Képfeldolgozó programcsomagok,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00061,Szoftverfejlesztés az egészségiparban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00021,Mesterséges intelligencia szeminárium,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00037,Szoftvertesztelés gyakorlata,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e,Számítógéppel segített műtéti tervezés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00117,Számítástudomány szeminárium,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00059,Windows univerzális alkalmazások fejlesztése,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00016,Android alkalmazásfejlesztés az iparban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00001,Bevezetés a Big Data-ba,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00101,Projektfázisok (Siemens PSE),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00043,Silverlight alapú alkalmazás készítése,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00087,Digitális képek szegmentálása,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00033,Fuzzy módszerek a képfeldolgozásban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00068,Elosztott rendszerek szimulációja,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00092,Programelemzési módszerek a gyakorlatban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00010,Bizonyítások és heurisztikák,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00074,Numerikus számítások Matlab kompatibilis szabad szoftverekkel,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00013,Integrált Vállalatirányítási Rendszer,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00104,"Building sites in Drupal, an open source content management system",,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00063,iOS alkalmazásfejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00006,Alkalmazásfejlesztés alapjai elosztott rendszerekben: Gridektők a felhőkig,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00049,Windows 8 fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00018,MS SQL Server alapú rendszerek fejlesztése,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00058,Grafikai modellezés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00100,Grid rendszerek a gyakorlatban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00075,Szintaktikus elemzési módszerek,2,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00069,Diszkrét tomográfia,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00119,Windows Phone fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00114,IT biztonság,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00115,Szoftvervisszatervezés és gyak. alkalmazásai (tehetséggond.),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00009,MCP vizsgafelkészítő tanfolyam - Application Development Foundation (70-536),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00005,Android,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00096,Képregisztráció és orvosi alkalmazásai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00028,Eötvös Informatika Műhely II,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00026,Matematika szabadon,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00053,Modellezés Matlabban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00088,Vezeték nélküli szenzorhálózatok BSc,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00024,Mobil képfeldolgozás,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00008,Szoftvertesztelés alapjai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00124,Python 3 programozás a gyakorlatban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00123,Gyakorlati funkcionális programozás Scala nyelven,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00122,Gyakorlati agilis szoftverfejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00003,Vázkijelölés a képfeldolgozásban,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00105,Heurisztikák alkalmazásai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00051,Programozási ismeretek alkalmazásai nagyvállalati környezetben,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00093,Logisztika,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00099,XML alapú dokumentum kezelés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00076,Adatelemzés a szociális médiában,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00121,"Okosóra, Okostelefon és OkosTV - Apple Swift alapú alkalmazás",,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00102,ACM feladatmegoldás: technikák és trükkök,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00090,Társadalmi és gazdasági hálózatok modellezése,3,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00070,Web-alk.fejl. Eclipse RAP technológiával,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00012,FPGA alapú digitális tervezés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00030,Zenei hangszintetizátorok elmélete és gyakorlata,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00011,Képfeldolgozó Nyári Iskola (SSIP2007),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00089,File organization and management,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00004,Intelligens UI - ötlettől a megvalósításig,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00085,Intelligens Eszközök Fejlesztése az Ipari Automatizálásban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00064,RIA fejlesztés konf,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00007,Faautomaták és fatranszformátorok I.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00111,IKT a szaktárgyi oktatás szolgálatában,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00002,Mesterséges intelligencia alkalmazása a villamosenergia rendszer üzemirányításában,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00039,Nyelvtechnológia problémák,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00106,Go programozási nyelv,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00109,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00054,Autodesk 3ds Max alapok,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00040,Szoftverfejlesztés a gyakorlatban (Siemens PSE),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00065,RIA fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00097,Web-alkalmazás fejlesztés J2EE technológiákkal (EPAM Systems),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00080,Python nyelv és alkalmazásai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00019,Symfony,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00036,Drupal modul fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00017,Kriptográfia régen és ma,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00103,Energiaminimalizációs módszerek a képszegmentálásban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00116,Műszaki és alk.mat. feladatok Maple-vel,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00014,Linux rendszergazdáknak,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00042,Grid rendszerek es fejlesztési irányaik,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00091,Eötvös Informatika Műhely III.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00055,Képfeldolgozó Nyári Iskola,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00078,Számítógépes nyelvészeti alkalmazások,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00048,Számítógépes biológia,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00041,Drupal,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00073,MCP vizsgafelkészítő tanfolyam - Web-Based Client Development (70-528),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00034,Matlab klónok,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00084,L Vezeték nélküli adathálózatok sp. konf.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00095,Digitális topológia és matematikai morfológia,0,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00020,Bevezetés a mobilkommunikációba (az SZTE és a Magyar Telekom közös kurzusa),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00025,Magyar nyelvű szövegek számítógépes feldolgozása,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00113,Irodai alkalmazások - StarOffice8,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00066,Speciálkollégium 1. (ea),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00098,Integrált Vállalatirányítási Rendszer egy vállalat életében,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00050,Szövegszerkesztés felsőfokon,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00110,Gráf alapú adatbányászat,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00038,Véletlenített algoritmusok,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00094,Approximációs algoritmusok,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00062,ACM versenyfeladatok megoldása I.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00052,.NET 3.5 Windows Presentation Foundation (WPF) konf,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00022,Információszabadság és adatvédelem,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00081,Ethernet alapú helyi és városi hálózatok,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00060,Kooperatív képzés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00045,Webfejlesztés a gyakorlatban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00083,ACM feladatok megoldása,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00120,Gazdaságinformatikai rendszerek,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00015,Mobil képalkotás és alkalmazásai,0,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00071,Az automaták alkalmazásai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00032,OTDK szeminárium,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00118,RIA alkalmazás fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00072,Bevezetés az információelméletbe,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00056,A mesterséges intelligencia matematikai modelljei,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00023,.NET F#,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00107,Információ vizualizáció spec.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00079,Forgalomirányítás IP alapú hálózatokban,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00047,Innovatív vállalkozások indítása,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00035,Ruby on Rails,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00108,ASP.NET MVC web application development using the Orchard content management framework,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00077,A LOGO nyelv és alkalmazásai,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00044,.NET alapú alkalmazás fejlesztés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00046,MCP vizsgafelkészítő tanfolyam - Windows-Based Client Development (70-526),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00125,.NET és SQL Server alapú fejlesztés SCRUM módszertannal,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00127,Játékfejlesztés natív környezetben,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00126,Alkalmazásbiztonság,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
