,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼◼◼,BSZV00‑00021,Fejezetek a biotechnológiából1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00196,Biostatisztika alkalmazása,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00110,Ioncsatornák és betegségeik molekuláris alapon emlősőkben,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00209,"Alkalmazott kutatás, K+F a biotechnológiában",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00112,Állatrendszertan 2. ea.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00169,Experimental chemotherapy and nanomedicine journal club,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00117,A Visual Basic laboratóriumi alkalmazásai I,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00166,Magyarország és az Európai Unió védett növényei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00236,Biokémia alapjai szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00052,Mikrobiológia 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00040,Mikrobiológia gy,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00015,Genetika 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00275,Biológiai műhely: Kisérlet tervezés és hipotézis tesztelés a biológiában,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00182,Molekuláris biológia 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00239,A nitrogén-monoxid mikrocirkulációs hatásai 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00086,Cyanobacteria in science and biotechnology,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00060,Növényélettan 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00324,A biológia legújabb eredményei 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00183,Chromatin structure and DNA repair,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00332,Bevezetés az arachnológiába,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00071,Cianobaktériumok biotechnológiai hasznosítása,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00099,Klasszikus genetika egykor és ma: szemelvények,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00069,Biokémia 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00252,Antropológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00288,Molekuláris biológia 1. BSc,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00073,Aerobiológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00214,Bioremediáció és környezeti kármentesítés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00039,Összehasonlító élettan 2 ea,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00271,Biológiai műhely: Hálózatok a biológiában.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00316,Cell communication,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00007,Az agykéreg kutatás új eredményei szeminárium 5,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00226,Természet és ember fenntartható együttélése a Kárpát-medencében,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00180,Adaptív növényi stratégiák szakirodalmi tanulmányok (Specializációs főtárgy),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00093,Növénykórtan 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00066,Az enterális idegrendszer szakirodalma 4,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00145,A biostatisztika alkalmazása,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00095,Az agykéreg kutatás új eredményei szeminárium 6,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00156,Az enterális idegrendszer szakirodalma 3,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00282,Összehasonlitó élettan 2 gy,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00191,Növényélettan 1. (kieg. lev.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00211,Ökológia 2. ea.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00165,Genetika gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00334,Palopatológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00111,Biológiai műhely XVIII. szemeszter,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00140,Az agykéreg kutatás új eredményei szeminárium 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00017,Biológiai műhely XVI. szemeszter,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00320,Populációgenetika és evolúció 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00229,HOGYAN TOVÁBB: AZ EMBERI ELME ESÉLYEI… EVOLÚCIÓ DE MIKÉNT? (HALADÓ KURZUS),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00010,Diabetes mellitus,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00223,A vegetációtan aktuális kérdései,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00305,Agykéreg kutatás új eredményei szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00119,Fejezetek a biotechnológiából,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00261,Növénykórtan gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00001,Klinikai vizsgálatok szervezése és koordinációja,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00162,Kémiai számítások biológus hallgatóknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00336,Molekuláris biológia 1 szeminárium ,,Szabadon választható,Szeminárium,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00337,A tiltott teljesítményfokozás (sport)orvosi vonatkozásai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00338,Nanorészecskék a sugárterápiában,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00339,Molekuláris tumordiagnosztika ,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00340,Biológus kutatói életpálya ismeretek,,Szabadon választható,Előadás,1,,1,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00341,Molekulamodellezés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00342,Nanorészecskék a tumorbiológiában 2018,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00772,Nanorészecskék a sugárterápiában 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00343,Biológia az egyetemen és azon túl 1.,,Szabadon választható,Szeminárium,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00344,Az antibiotikum rezisztencia krízis napjainkban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00345,Kinureninek a központi idegrendszerben,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00346,Biológia az egyetemen és azon túl 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00404,Környezetegészségtan,,Szabadon választható,Szeminárium,2,,2,,,,
◼,TT‑FSZV00,Fizika SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑FSZV00,Fizika SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00219,Lineáris algebra fizikusoknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00263,Vákuumfizika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00234,Bevezetés a csillagászatba 3.,,Szabadon választható,Előadás,3,,3,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00022,Matematikai módszerek a fizikában 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00167,Oktatási gyakorlat (csak demonstrátoroknak),,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00169,Csillagászat (FSZV),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00053,Telekommunkációs alapismeretek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00340,LabVIEW alapok fizikai alkalmazásokkal 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00137,Digitális hálózatok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00021,LabVIEW alapok fizikai alkalmazásokkal 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00147,"Földtani, földrajzi alapismeretek",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00353,Bevezetés a csillagászatba 1.,,Szabadon választható,Előadás,3,,3,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00215,Lineáris algebra fizikusoknak gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00366,Bevezetés a csillagászatba 4. (FSZV),,Szabadon választható,Előadás,2,,3,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00324,Matematikai módszerek a fizikában gyakorlat 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00078,Kvantumfizika és kvantuminformatika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00073,Statisztikus fizika gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00091,Mag- és részecskefizika 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00008,Molekulafizika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00338,Kvantummechanika 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00213,Fizika informatikusoknak 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FMN532E,Nagyintenzitású lézerek és alkalmazásaik,,Szabadon választható,Előadás,2,,3,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00174,Fizikai laboratóriumi gyakorlatok 4.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00273,Biofizika gyakorlat (alk. fiz.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00020,Mechanika önállóvizsga szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00203,Elektronika 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00102,Matematikai módszerek a fizikában 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00127,Biofizika gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00121,Rendszerelmélet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00185,Molekulafizika gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00287,Analitikus mechanika gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00153,Fizika informatikusoknak I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00252,Lumineszcencia a biológiában és az orvostudományban ,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00107,Fizika szabadonválasztott Csillagászattörténet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00038,Csillagászattörténet (FSZV),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00310,Atomfizika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00110,OKT szabadon választott,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00307,Bevezetés a csillagászatba 2. (FSZV),,Szabadon választható,Előadás,2,,3,,,,
,,,,,,,,,,,,
◼◼◼,FSZV00‑00006,Bevezetés az elméleti fizikába 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FTNSZV00‑00088,Csillagászati újdonságok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,FSZV‑elmfiz‑003E,,,,,,,,,,,
,"Relativitás, gravitáció és fekete lyukak",Szabadon választható,Előadás,2,,3,,,,,,
,,,,,,,,,,,,
◼◼◼,FSZV‑elmfiz‑004E,,,,,,,,,,,
,"Integrálható rendszerek, Lie- csoportok és reprezentációk ",Szabadon választható,Előadás,2,,3,,,,,,
◼,TT‑GSZV00,Földrajz SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑GSZV00,Földrajz SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00138,EGH Városi közterületek humán komfort vizsgálata,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00085,EGH Karsztos tájttipusok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00251,A negyedidőszak földtana,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00359,GAF A népesség fejlődéstörténete,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00111,Globális környezeti kérdések,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00104,ASV „Vulcano 21” vulkanológiai (és művészettörténeti) tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00402,FOL GeoKenu VII.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00073,GAF Világvallások és a globalizáció,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00025,GAF Mai magyar földrajzi iskolák,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00287,SZV - A Tisza,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00411,EGH Klimatológiai adatforrások és adatfeldolgozás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00037,LEV Alapismeretek az Európai Unióról (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00416,TEF Választott (KÖRNYEZETKUTATÓ szakirány) terepgyakorlat 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00147,EGH Karsztökológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00255,Digitális képfeldolgozás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00005,Regionális természeti földrajz I. - CSV,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00046,A földrajz kémiai alapjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00049,GAF Borturizmus,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00152,ASV Drágakövek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00329,Ősmaradványok gyűjtése és preparálása,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00043,GAF Közlekedés biztonság és közlekedés etika az Európai Unióban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00117,Magyarország földtana II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00060,Földrajzi tanulmányút 2. Görögország,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00116,GAF Mai magyar földrajzi iskolák VI. (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00016,FOL GeoKenu I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00276,Magyarország turizmusföldrajza,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00165,GAF Mai magyar földrajzi iskolák IX.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00338,Bevezetés az őslénytanba II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00118,FOL GeoKéktúra I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00077,LEV Az UNESCO Világörökség részei (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00348,ASV „Vulcano 24” vulkanológiai (és művészettörténeti) tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00185,SZV - Az Aggteleki-karszt geomorfológiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00365,ASV „Vulcano 24” vulkanológiai (és kultúrtörténeti) tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00187,Bevezetés a talajtanba ea,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00182,ASV A bor geológiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00133,EGH Térképtörténet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00089,TEF Történeti klimatológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00306,GAF Mai magyar földrajzi iskolák X.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00254,FOL GeoKenu VI.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00247,EGH Karsztos tájtipusok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00188,Bevezetés a turisztikai menedzsmentbe gy,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00366,ASV Vulkanológiai és kultúrtörténeti tanulmányút,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00030,FOL GeoKenu VIII.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00376,ASV Földrajzi tanulmányút 1. Vulkanológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00391,Nemzetközi turizmusföldrajz,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00324,FOL Projektmunka geoinformatikus I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00205,FOL GeoKenu IV.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00150,Digitális térképészet G,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00105,FOL GeoKenu III.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00062,GAF Borturizmus 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00059,GAF - LEV Az UNESCO Világörökség részei (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00342,Földrajzi tanulmányút 1. Görögország,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00210,TEF Hat kontinens geográfus szemmel,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00336,Alkalmazott digitális térképészet G,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00268,ASV GeoFilm I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00022,Bevezetés a turizmuskutatásba,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00177,Ásványtan gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00023,SZV-Európa nemzeti parkjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00033,GAF Mai magyar földrajzi iskolák VII. (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00088,EGH Városi közterületek humán komfort vizsgálata 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00142,Környezetföldtan 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00202,Lakható bolygók az univerzumban II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00050,ASV „Vulcano 23” vulkanológiai (és művészettörténeti) tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00048,Talaj- és vízvizsgálati módszerek LAB,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00157,Geotermika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00108,Turisztikai alapismeretek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00333,Magyar borvidékek geológiája és kultúrája,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00340,Magyarország földtana I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00063,SZV-Amerika természeti földrajza,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00176,FOL GeoKenu V.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00275,GAF Tudásföldrajz,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00014,Őslénytan II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00222,FOL Földtani tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00125,EGH Városi zöldterületek humánbioklíma vizsgálata,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00415,Talajgeokémia és talajásványtan,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00418,A környezetvédelmi tervezés és társadalmi hatásértékelés környezetradiológiai vonatkozásai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00373,Bevezetés a turisztikai menedzsmentbe ea,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00358,Földtani adatbázisok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00317,Éghajlat és történelem,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00200,Magyar borvidékek geológiája és kultúrája,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00087,EGH Városi fák vizsgálata,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
