,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼◼◼,GKBN04S,Mikroökonómia I.,6,Kötelezően választható,Gyakorlat,2,,2,,,,
◼,TT‑GKBN05,Makroökonómia I.,,Nincs megadva,,,,3,3,,,
◼◼,TE‑GKBN05E,Makroökönómia I.,7,Kötelezően választható,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,GKBN05E,Makroökönómia I.,7,Kötelezően választható,Előadás,2,,3,,,,
◼,TT‑GKBN12b,Szervezeti viselkedések,,Nincs megadva,,,,2,2,1,,
◼◼,TE‑GKBN12bE,Szervezeti viselkedések,3,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GKBN12bE,Szervezeti viselkedések,3,Kötelezően választható,Előadás,2,,2,,,,
◼,TT‑GKBN15,Pénzügyi alapismeretek,,Nincs megadva,,,,3,3,,,
◼◼,TE‑GKBN15E,Pénzügyi alapismeretek,7,Kötelezően választható,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,GKBN15E‑00001,Pénzügyi alapismeretek,7,Kötelezően választható,Előadás,2,,3,,,,
◼,TT‑IBK911,Gazdasági informatika,,Nincs megadva,,,,4,4,2,,
◼◼,TE‑IB911e,Gazdasági informatika,7,Kötelezően választható,,,,3,,,1,
,,,,,,,,,,,,
◼◼◼,IBK911E,Gazdasági informatika,7,Kötelezően választható,Előadás,2,,2,,,,
◼◼,TE‑IB911g,Gazdasági informatika,7,Kötelezően választható,,,,1,1,,1,
,,,,,,,,,,,,
◼◼◼,IBK911G,Gazdasági informatika gyak.,7,Kötelezően választható,Labor,1,,2,,,,
◼,TT‑GBN509,EU alapismeretek,,Nincs megadva,,,,2,2,,,
◼◼,TE‑GBN509E,EU alapismeretek,2,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GBN509E,EU alapismeretek,2,Kötelezően választható,Előadás,2,,2,,,,
◼,TT‑GBN417,Környezetvédelem és minőségügyi alapismeretek,,Nincs megadva,,,,2,2,,,
◼◼,TE‑GBN417E,Környezetvédelem és minőségügyi alapismeretek,7,Kötelezően választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,GBN417E,Környezetvédelem és minőségügyi alapismeretek,7,Kötelezően választható,Előadás,2,,2,,,,
,MK‑SZT,Szakmai törzsanyag,,Kötelező,,,,73,73,,,
◼,TT‑IB716,Információbiztonság,,Kötelező,,,,3,3,2,,
◼◼,TE‑IB716E,Információbiztonság,6,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB716E,Információbiztonság,6,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑IB716L,Információbiztonság,6,Kötelező,,,,1,1,,1,
,,,,,,,,,,,,
◼◼◼,IB716L‑00001,Információbiztonság,6,Kötelezően választható,Labor,1,,1,,,,
◼,TT‑IB318,Digitális architektúrák,1,Kötelező,,,,4,4,1,,
◼◼,TE‑IB318E,Digitális architektúrák,1,Kötelező,,,,4,4,,1,
,,,,,,,,,,,,
◼◼◼,IB318E,Digitális architektúrák,1,Kötelező,Előadás,3,,4,,,,
◼,TT‑IB211,Elektronika (mérnök informatikus),3,Kötelező,,,,3,3,1,,
◼◼,TE‑IB211E,Elektronika (mérnök informatikus),3,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB211E,Elektronika,3,Kötelező,Előadás,2,,3,,,,
